timestamp, frame, x, y, z, qx, qy, qz, qw
805730.772323666, 001660, 20.662058, -0.049401578, -5.083795, -0.22824672, 0.04762864, -0.97238463, 0.010154778
805730.7889995, 001661, 20.672192, -0.048284464, -5.0753045, -0.2262285, 0.047261156, -0.97288394, 0.009156038
805730.805674833, 001662, 20.682232, -0.047315672, -5.0669284, -0.22439212, 0.04714874, -0.97332394, 0.008109165
805730.822350625, 001663, 20.688896, -0.046149917, -5.059906, -0.22277413, 0.047536172, -0.9736839, 0.007186081
805730.839025875, 001664, 20.696367, -0.045221042, -5.052548, -0.22136633, 0.048360713, -0.97397006, 0.006358136
805730.855701666, 001665, 20.705547, -0.044645667, -5.0444365, -0.21994838, 0.04939009, -0.9742445, 0.0055621504
805730.872377083, 001666, 20.715317, -0.044350263, -5.03597, -0.21813172, 0.05066202, -0.9745925, 0.0046174084
805730.88905275, 001667, 20.725292, -0.04433952, -5.027322, -0.2159156, 0.051869296, -0.9750269, 0.0035306572
805730.905728291, 001668, 20.735323, -0.044588283, -5.0185847, -0.213514, 0.052705217, -0.97551435, 0.0023641414
805730.922404, 001669, 20.744257, -0.044464663, -5.0097237, -0.21110585, 0.05351801, -0.97599643, 0.0010376244
805730.939079333, 001670, 20.75369, -0.04487916, -5.0008307, -0.20879024, 0.05452882, -0.9764389, -0.0005672076
805730.955755125, 001671, 20.763433, -0.045682516, -4.991907, -0.2065598, 0.05543806, -0.97685945, -0.002298822
805730.972430541, 001672, 20.773287, -0.046713002, -4.9829493, -0.20432907, 0.056274213, -0.977275, -0.0040410915
805730.98910625, 001673, 20.783176, -0.047897045, -4.9739304, -0.20192687, 0.05732179, -0.97770536, -0.005646281
805731.005781666, 001674, 20.793114, -0.04917726, -4.9648547, -0.19932865, 0.057945326, -0.9781939, -0.0068652485
805731.022457333, 001675, 20.803474, -0.050405227, -4.955626, -0.19666973, 0.058166374, -0.97871304, -0.0076420866
805731.039132833, 001676, 20.813808, -0.051698156, -4.9464, -0.19418207, 0.05831177, -0.9791978, -0.008042835
805731.055808541, 001677, 20.824049, -0.05306898, -4.937195, -0.1918615, 0.058516633, -0.9796417, -0.0081941625
805731.072483958, 001678, 20.83432, -0.054471795, -4.9279647, -0.18958755, 0.05850308, -0.9800856, -0.008137569
805731.089159625, 001679, 20.844662, -0.055874355, -4.918665, -0.187361, 0.0583409, -0.9805249, -0.007939707
805731.105835, 001680, 20.855116, -0.0572509, -4.909261, -0.1851983, 0.05837204, -0.9809359, -0.0076810173
805731.12251075, 001681, 20.864523, -0.05832269, -4.89945, -0.1832771, 0.058526278, -0.98128945, -0.007431138
805731.139186083, 001682, 20.874418, -0.0593406, -4.8897414, -0.18169369, 0.058826037, -0.9815678, -0.007178762
805731.155861833, 001683, 20.884995, -0.060338803, -4.8802934, -0.18028845, 0.059031337, -0.98181736, -0.006781424
805731.172537333, 001684, 20.89583, -0.061217166, -4.8709803, -0.17872564, 0.059085995, -0.9821027, -0.006344228
805731.189212958, 001685, 20.906754, -0.061950438, -4.8617234, -0.17692153, 0.05900662, -0.9824367, -0.0059182453
805731.205888375, 001686, 20.917665, -0.062533684, -4.8525243, -0.17487958, 0.058822572, -0.9828155, -0.0055438713
805731.222564208, 001687, 20.92854, -0.06288327, -4.843414, -0.17288904, 0.058421414, -0.9831931, -0.0052547827
